time,name,price,chg_24h_pct,vol_24h_usdt,high,low,signal
00:00:55,BOME,0.000531,5.36,1297115.0,0.000533,0.000483,
00:00:55,NEIRO,8.918e-05,2.39,3176320.0,9.111e-05,8.45e-05,
00:00:55,PENGU,0.009906,2.73,40276333.0,0.010009,0.009319,
00:01:54,DOGE,0.10688,3.51,189907655.0,0.10841,0.10096,Y
00:01:54,SHIB,6.32e-06,3.61,10196979.0,6.38e-06,6e-06,
00:01:54,PEPE,3.88e-06,1.57,48599714.0,3.95e-06,3.74e-06,
00:01:54,FLOKI,3.25e-05,1.91,3488222.0,3.284e-05,3.109e-05,
00:01:54,BONK,6.25e-06,1.63,5125874.0,6.3e-06,5.98e-06,
00:01:54,WIF,0.189,7.39,6735981.0,0.19,0.171,
00:01:54,BOME,0.00053,4.95,1295875.0,0.000533,0.000483,
00:01:54,NEIRO,8.877e-05,1.81,3168733.0,9.111e-05,8.45e-05,
00:01:54,PENGU,0.009862,2.31,39930961.0,0.010009,0.009319,
00:02:55,DOGE,0.10682,3.4,190317930.0,0.10841,0.10096,Y
00:02:55,SHIB,6.31e-06,3.44,10195663.0,6.38e-06,6e-06,
00:02:55,PEPE,3.88e-06,1.3,48555206.0,3.95e-06,3.74e-06,
00:02:55,FLOKI,3.25e-05,1.85,3487976.0,3.284e-05,3.109e-05,
00:02:55,BONK,6.25e-06,1.63,5126852.0,6.3e-06,5.98e-06,
00:02:55,WIF,0.188,7.43,6747097.0,0.19,0.171,
00:02:55,BOME,0.000531,5.15,1296038.0,0.000533,0.000483,
00:02:55,NEIRO,8.913e-05,2.04,3172379.0,9.111e-05,8.45e-05,
00:02:55,PENGU,0.00989,2.48,39916554.0,0.010009,0.009319,
00:03:54,DOGE,0.10687,3.44,189799173.0,0.10841,0.10096,Y
00:03:54,SHIB,6.33e-06,3.6,10189820.0,6.38e-06,6e-06,
00:03:54,PEPE,3.89e-06,1.83,48545174.0,3.95e-06,3.74e-06,
00:03:54,FLOKI,3.253e-05,1.72,3491072.0,3.284e-05,3.109e-05,
00:03:54,BONK,6.25e-06,1.63,5125580.0,6.3e-06,5.98e-06,
00:03:54,WIF,0.189,7.39,6749790.0,0.19,0.171,
00:03:54,BOME,0.000531,5.15,1296514.0,0.000533,0.000483,
00:03:54,NEIRO,8.917e-05,1.73,3167091.0,9.111e-05,8.45e-05,
00:03:54,PENGU,0.009898,2.41,39890261.0,0.010009,0.009319,
00:04:54,DOGE,0.10702,3.33,189545492.0,0.10841,0.10096,Y
00:04:54,SHIB,6.34e-06,3.6,10189914.0,6.38e-06,6e-06,
00:04:54,PEPE,3.89e-06,1.3,48410523.0,3.95e-06,3.74e-06,
00:04:54,FLOKI,3.26e-05,1.72,3480264.0,3.284e-05,3.109e-05,
00:04:54,BONK,6.26e-06,1.46,5101694.0,6.3e-06,5.98e-06,
00:04:54,WIF,0.189,7.39,6733927.0,0.19,0.171,
00:04:54,BOME,0.000533,5.34,1297849.0,0.000534,0.000483,
00:04:54,NEIRO,8.949e-05,1.94,3167149.0,9.111e-05,8.45e-05,
00:04:54,PENGU,0.009926,2.5,39889805.0,0.010009,0.009319,
00:05:56,DOGE,0.10698,3.08,189383722.0,0.10841,0.10096,Y
00:05:56,SHIB,6.33e-06,3.43,10186946.0,6.38e-06,6e-06,
00:05:56,PEPE,3.89e-06,1.3,48409028.0,3.95e-06,3.74e-06,
00:05:56,FLOKI,3.26e-05,1.59,3484566.0,3.284e-05,3.109e-05,
00:05:56,BONK,6.26e-06,1.46,5101271.0,6.3e-06,5.98e-06,
00:05:56,WIF,0.189,7.39,6800012.0,0.19,0.171,
00:05:56,BOME,0.000532,4.72,1296836.0,0.000535,0.000483,
00:05:56,NEIRO,8.946e-05,1.86,3168461.0,9.111e-05,8.45e-05,
00:05:56,PENGU,0.009919,2.13,39854132.0,0.010009,0.009319,
00:06:55,DOGE,0.10704,3.1,189064040.0,0.10841,0.10096,Y
00:06:55,SHIB,6.34e-06,3.6,10176510.0,6.38e-06,6e-06,
00:06:55,PEPE,3.89e-06,1.3,48357774.0,3.95e-06,3.74e-06,
00:06:55,FLOKI,3.263e-05,1.71,3483664.0,3.284e-05,3.109e-05,
00:06:55,BONK,6.27e-06,1.62,5101349.0,6.3e-06,5.98e-06,
00:06:55,WIF,0.189,7.39,6825083.0,0.19,0.171,
00:06:55,BOME,0.000534,5.33,1296240.0,0.000535,0.000483,
00:06:55,NEIRO,8.943e-05,1.67,3167749.0,9.111e-05,8.45e-05,
00:06:55,PENGU,0.009915,1.98,39857102.0,0.010009,0.009319,
00:07:54,DOGE,0.10701,3.16,188767349.0,0.10841,0.10096,Y
00:07:54,SHIB,6.34e-06,3.76,10173395.0,6.38e-06,6e-06,
00:07:54,PEPE,3.89e-06,1.3,48239133.0,3.95e-06,3.74e-06,
00:07:54,FLOKI,3.261e-05,1.72,3478805.0,3.284e-05,3.109e-05,
00:07:54,BONK,6.27e-06,1.62,5097241.0,6.3e-06,5.98e-06,
